DateTime,AddedIPs,RemovedIPs
1585685773,63,70
1585687690,63,121
1585688169,48,24
1585689303,48,56
1585689616,527,27
1585690923,79,103
1585691526,9,6
1585692843,74,68
1585693448,10,20
1585694027,60,88
1585695378,13,20
1585695613,55,32
1585697286,236,1
1585699223,161,176
1585699742,61,70
1585701145,14,9
1585703313,157,224
1585704484,74,7
1585705215,23,6
1585706270,64,141
1585707145,17,6
1585707603,61,81
1585708209,249,0
1585709051,13,5
1585709936,123,191
1585710971,17,6
1585711204,46,9
1585712897,13,9
1585714811,148,222
1585716125,71,166
1585716728,40,6
1585717804,80,72
1585718661,14,10
1585719006,51,85
1585720566,21,6
1585721406,93,112
1585721984,0,1016
1585722823,59,7
1585724164,63,131
1585724661,18,11
1585725243,39,66
1585726568,14,19
1585726803,61,82
1585728494,31,20
1585728843,129,113
1585729683,28,1
1585730414,21,20
1585730973,44,142
1585732325,16,24
1585732443,57,59
1585733283,35,0
1585734273,44,125
1585736169,75,768
1585738098,76,97
1585739644,66,113
1585740009,304,0
1585741190,52,54
1585741935,19,15
1585742163,47,27
1585743303,44,44
1585743846,8,18
1585744593,66,91
1585745764,24,14
1585746903,94,95
1585747684,25,12
1585748526,49,85
1585749611,25,28
1585750203,60,47
1585751540,23,11
1585752123,72,98
1585753453,13,13
1585754043,66,26
1585755381,11,12
1585755911,1588,359
1585756564,36,0
1585757294,20,10
1585758483,76,55
1585759207,11,9
1585760103,43,144
1585761137,17,10
1585761244,104,69
1585763046,12,9
1585763763,115,162
1585765210,18,8
1585766404,420,643
1585767129,18,5
1585767950,92,79
1585769061,19,10
1585769408,83,67
1585770124,41,31
1585770997,16,11
1585771630,507,0
1585772102,61,78
1585772883,5,18
1585773725,115,140
1585774819,10,12
1585775111,49,84
1585776729,6,9
1585777953,129,119
1585778650,11,10
1585778874,256,246
1585779303,58,42
1585780580,20,21
1585780926,66,109
1585781763,36,0
1585782491,281,0
1585782843,50,67
1585783683,25,0
1585784406,13,20
1585785304,52,117
1585786342,20,13
1585786510,256,0
1585787284,80,49
1585788251,16,20
1585788611,51,102
1585790168,11,16
1585790884,104,61
1585792566,92,82
1585793056,24,32
1585794979,54,65
1585795323,70,93
1585796164,30,1
1585796898,19,12
1585798806,63,81
1585798925,42,103
1585800736,24,12
1585800911,78,59
1585802647,21,12
1585804057,102,132
1585804567,23,15
1585806500,92,52
1585808409,15,9
1585809042,117,166
1585810325,5,6
1585810563,60,22
1585811643,43,52
1585812259,8,9
1585812484,29,0
1585814166,11,11
1585816088,154,198
1585818021,125,126
1585818905,49,51
1585819931,10,12
1585820079,70,86
1585821850,10,725
1585822511,69,69
1585823782,67,25
1585824964,66,120
1585825688,424,0
1585826042,43,44
1585826883,39,2
1585827611,57,16
1585829537,35,12
1585829711,99,382
1585831451,81,87
1585833612,47,17
1585835526,197,155
1585835952,44,54
1585836843,41,4
1585837446,16,10
1585838523,68,85
1585839374,22,14
1585841288,96,71
1585842123,64,104
1585843208,33,12
1585844043,76,59
1585845139,27,36
1585845304,37,74
1585845910,764,1268
1585847048,37,20
1585847710,37,23
1585848967,174,63
1585849202,130,58
1585851147,85,68
1585851309,281,0
1585853047,39,14
1585854970,124,169
1585856902,72,83
1585857174,35,21
1585858803,21,28
1585859632,82,127
1585860724,32,19
1585862659,93,92
1585863005,44,62
1585864596,24,12
1585865710,609,322
1585866484,11,19
1585866486,28,1
1585868422,352,0
1585868740,67,165
1585870331,10,17
1585871762,152,111
1585872494,21,13
1585872903,60,80
1585873683,39,0
1585874406,8,13
1585874524,35,107
1585876336,27,7
1585876443,61,48
1585878251,21,13
1585878964,99,111
1585880169,23,16
1585882100,346,136
1585882829,48,65
1585883644,23,0
1585884015,18,13
1585884903,51,75
1585885925,15,11
1585886163,44,29
1585887294,42,52
1585887844,23,21
1585888924,55,116
1585889776,32,35
1585891687,100,71
1585892066,44,67
1585893617,17,16
1585894504,100,84
1585895613,16,11
1585896125,58,114
1585897702,28,18
1585897804,75,69
1585899603,16,15
1585900216,112,115
1585901524,12,30
1585901644,45,59
1585902484,32,1
1585903459,13,23
1585905370,107,169
1585907286,93,98
1585908604,46,35
1585909217,25,659
1585910523,78,86
1585911123,25,38
1585912443,59,64
1585913045,327,0
1585914004,59,81
1585914977,23,14
1585915227,29,78
1585916884,20,13
1585917009,29,2037
1585917605,44,72
1585918806,14,19
1585919704,97,59
1585920738,14,11
1585920903,47,69
1585922908,62,30
1585923303,67,36
1585924210,2024,0
1585924805,13,5
1585924924,52,70
1585926725,19,20
1585926845,99,47
1585928657,9,16
1585930573,134,133
1585931404,41,77
1585932486,16,13
1585932681,43,22
1585933803,26,57
1585934416,16,23
1585934883,61,2
1585936323,12,15
1585937644,338,400
1585938245,20,11
1585938484,56,3
1585940206,17,9
