DateTime,Entries,UniqueIPs
1583502891,7493,7493
1583510135,7528,7528
1583517393,7591,7591
1583524643,7638,7638
1583531886,7676,7676
1583542738,7730,7730
1583553597,7774,7774
1583564559,7822,7822
1583575263,7846,7846
1583586113,7890,7890
1583596933,7920,7920
1583607778,7957,7957
1583618732,8053,8053
1583629552,8128,8128
1583640402,8161,8161
1583651268,8239,8239
1583662164,8368,8368
1583673073,8466,8466
1583683922,8544,8544
1583694834,8600,8600
1583705692,8693,8693
1583716568,8770,8770
1583727454,8861,8861
1583738373,8959,8959
1583749102,8862,8862
1583759729,8707,8707
1583770368,8563,8563
1583781182,8582,8582
1583791973,8577,8577
1583802752,8584,8584
1583813606,8621,8621
1583824464,8664,8664
1583835265,8677,8677
1583846049,8686,8686
1583856879,8695,8695
1583867935,8934,8934
1583878810,9026,9026
1583889738,9125,9125
1583900667,9254,9254
1583922439,9460,9460
1583933365,9567,9567
1583944422,9759,9759
1583955220,9838,9838
1583966085,9886,9886
1583976943,9940,9940
1583987782,9974,9974
1583998633,10029,10029
1584009476,10098,10098
1584020310,10149,10149
1584031151,10186,10186
1584042030,10245,10245
1584052852,10284,10284
1584063674,10295,10295
1584074454,10271,10271
1584085247,10258,10258
1584095989,10219,10219
1584106716,10117,10117
1584117452,10062,10062
1584128206,10044,10044
1584138954,9998,9998
1584149705,9951,9951
1584160576,9915,9915
1584171381,10012,10012
1584182209,10025,10025
1584192982,10040,10040
1584203757,10009,10009
1584214590,10022,10022
1584225339,9977,9977
1584236087,9954,9954
1584246919,9953,9953
1584257717,9971,9971
1584268515,9984,9984
1584279293,9975,9975
1584290051,9965,9965
1584300861,9977,9977
1584311612,9924,9924
1584322371,9865,9865
1584333150,9855,9855
1584343902,9828,9828
1584354634,9771,9771
1584365364,9679,9679
1584376129,9615,9615
1584386709,9401,9401
1584397542,9459,9459
1584408394,9510,9510
1584419226,9541,9541
1584430090,9590,9590
1584440940,9648,9648
1584451763,9689,9689
1584462560,9685,9685
1584473295,9630,9630
1584484081,9594,9594
1584494788,9512,9512
1584505484,9422,9422
1584516278,9377,9377
1584527032,9361,9361
1584537779,9337,9337
1584548670,9291,9291
1584559323,9298,9298
1584570165,9278,9278
1584580926,9234,9234
1584591774,9218,9218
1584602462,9183,9183
1584613171,9112,9112
1584623914,9053,9053
1584634681,9002,9002
1584645419,8936,8936
1584656184,8867,8867
1584666882,8794,8794
1584677661,8742,8742
1584688372,8680,8680
1584699192,8699,8699
1584709985,8689,8689
1584720802,8696,8696
1584731589,8684,8684
1584742412,8678,8678
1584753226,8673,8673
1584764055,8717,8717
1584774879,8720,8720
1584785655,8711,8711
1584796416,8653,8653
1584807231,8666,8666
1584817967,8627,8627
1584828776,8566,8566
1584839465,8524,8524
1584850345,8569,8569
1584861236,8670,8670
1584872065,8736,8736
1584882946,8763,8763
1584895095,8832,8832
1584904596,8856,8856
1584915487,8907,8907
1584926268,8896,8896
1584937062,8918,8918
1584947851,8917,8917
1584958641,8934,8934
1584969513,8898,8898
1584980140,8834,8834
1584990865,8753,8753
1585001612,8666,8666
1585012347,8587,8587
1585023160,8503,8503
1585033774,8397,8397
1585044461,8285,8285
1585055120,8153,8153
1585066003,8272,8272
1585076900,8365,8365
1585087819,8495,8495
1585098772,8637,8637
1585109659,8739,8739
1585120509,8798,8798
1585131364,8847,8847
1585142139,8831,8831
1585153013,8910,8910
1585163759,8825,8825
1585174474,8728,8728
1585185306,8707,8707
1585195991,8654,8654
1585206694,8552,8552
1585217534,8609,8609
1585228370,8645,8645
1585239313,8713,8713
1585250105,8783,8783
1585260938,8826,8826
1585271786,8868,8868
1585282587,8883,8883
1585293369,8877,8877
1585304060,8816,8816
1585314837,8772,8772
1585325671,8775,8775
1585336444,8777,8777
1585347243,8751,8751
1585357967,8699,8699
1585368715,8636,8636
1585379422,8554,8554
1585390186,8504,8504
1585400916,8456,8456
1585411697,8378,8378
1585422463,8366,8366
1585433323,8426,8426
1585444131,8419,8419
1585454979,8386,8386
1585465645,8370,8370
1585476433,8357,8357
1585487200,8333,8333
1585498037,8330,8330
1585508785,8296,8296
1585519560,8237,8237
1585530359,8227,8227
1585541207,8288,8288
1585552052,8346,8346
1585562906,8371,8371
1585573701,8423,8423
1585584589,8524,8524
1585595464,8622,8622
1585606358,8729,8729
1585617218,8795,8795
1585628075,8862,8862
1585638907,8929,8929
1585649762,8995,8995
1585660558,8991,8991
1585671424,8972,8972
1585682141,8969,8969
1585692894,8908,8908
1585703636,8813,8813
1585714326,8708,8708
1585725069,8645,8645
1585735786,8582,8582
1585746557,8555,8555
1585757347,8516,8516
1585768191,8557,8557
1585779033,8600,8600
1585789818,8602,8602
1585800618,8609,8609
1585811408,8609,8609
1585822184,8580,8580
1585832995,8564,8564
1585843777,8551,8551
1585854543,8537,8537
1585865319,8493,8493
1585876076,8441,8441
1585886951,8427,8427
1585897719,8487,8487
1585908598,8591,8591
1585919457,8629,8629
1585930299,8656,8656
1585941097,8697,8697
1585952005,8743,8743
1585962820,8778,8778
1585973690,8845,8845
1585984592,8943,8943
1585995439,9000,9000
1586006257,9035,9035
1586017055,9038,9038
1586027827,9045,9045
1586038626,9023,9023
1586049478,9078,9078
1586060322,9132,9132
1586071146,9180,9180
1586082005,9240,9240
1586092845,9279,9279
1586103776,9319,9319
1586114485,9374,9374
1586125412,9465,9465
1586136274,9536,9536
1586147118,9558,9558
1586158037,9581,9581
